worker_id,assignment_id,uniqueid,pid,datetime,trial_id,jitter,exp_duration,loc_x,loc_y,n_shown,color,n_guess,rt
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-50.0,-86.6025403784,R,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954292,754831,2,0,500,-75.0,-129.903810568,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954292,754831,2,0,500,25.0,-43.3012701892,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954292,754831,2,0,500,50.0,-86.6025403784,R,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954292,754831,2,0,500,75.0,-129.903810568,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,29.788298032,7.21889194801,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,100.381959917,-15.2844901023,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,159.459096197,8.77443657346,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,7.86542419298,44.0021971387,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,36.0677753453,90.9400906366,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,63.4759421083,135.849065726,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-16.1778302946,56.8589365011,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-72.0618998797,85.4874607857,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-68.1367764625,116.53950678,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-31.2851293157,-18.2938291204,B,1,1,460
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717957558,754831,3,50,500,-89.0533669488,-19.67833933,B,1,1,460
